plural,plural_index,range
(n!=1),0,when n = 1
(n!=1),1,when n is not 1
(n%10==1 && n%100!=11 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2),0,"when n = 1, 21, 31, 41, ..."
(n%10==1 && n%100!=11 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2),1,"when n = 2-4, 22-24, 32-34, ..."
(n%10==1 && n%100!=11 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2),2,"when n = 0, 5-20, 25-30, 35-40, ..."
(n==1 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2),0,when n = 1
(n==1 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2),1,"when n = 2-4, 22-24, 32-34, ..."
(n==1 ? 0 : n%10>=2 && n%10<=4 && (n%100<10 || n%100>=20) ? 1 : 2),2,"when n = 0, 5-21, 25-31, 35-41, ..."
(n>1),0,when n is 0 or 1
(n>1),1,when n is at bigger than 1
0,0,independently of n
